"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"OR";"04.05.2025 21:33:23";75.1377;1;45781898179.6412
"Power";"04.05.2025 21:33:23";80;1;45781898179.6412
"Temperature_Setpoint";"04.05.2025 21:33:23";30;1;45781898179.6412
"Temperature_In";"04.05.2025 21:33:23";15;1;45781898179.6412
"Temperature_Out";"04.05.2025 21:33:23";30.0167;1;45781898179.6412
"OR";"04.05.2025 21:33:24";75.1377;1;45781898191.2847
"Power";"04.05.2025 21:33:24";80;1;45781898191.2847
"Temperature_Setpoint";"04.05.2025 21:33:24";30;1;45781898191.2847
"Temperature_In";"04.05.2025 21:33:24";15;1;45781898191.2847
"Temperature_Out";"04.05.2025 21:33:24";30.01607;1;45781898191.2847
"OR";"04.05.2025 21:33:25";75.1375;1;45781898202.9282
"Power";"04.05.2025 21:33:25";80;1;45781898202.9282
"Temperature_Setpoint";"04.05.2025 21:33:25";30;1;45781898202.9282
"Temperature_In";"04.05.2025 21:33:25";15;1;45781898202.9282
"Temperature_Out";"04.05.2025 21:33:25";30.01538;1;45781898202.9282
"OR";"04.05.2025 21:33:26";75.13747;1;45781898214.5833
"Power";"04.05.2025 21:33:26";80;1;45781898214.5833
"Temperature_Setpoint";"04.05.2025 21:33:26";30;1;45781898214.5833
"Temperature_In";"04.05.2025 21:33:26";15;1;45781898214.5833
"Temperature_Out";"04.05.2025 21:33:26";30.01471;1;45781898214.5833
"OR";"04.05.2025 21:33:27";75.13766;1;45781898226.2153
"Power";"04.05.2025 21:33:27";80;1;45781898226.2153
"Temperature_Setpoint";"04.05.2025 21:33:27";30;1;45781898226.2153
"Temperature_In";"04.05.2025 21:33:27";15;1;45781898226.2153
"Temperature_Out";"04.05.2025 21:33:27";30.01405;1;45781898226.2153
"OR";"04.05.2025 21:33:28";75.13766;1;45781898237.8588
"Power";"04.05.2025 21:33:28";80;1;45781898237.8588
"Temperature_Setpoint";"04.05.2025 21:33:28";30;1;45781898237.8588
"Temperature_In";"04.05.2025 21:33:28";15;1;45781898237.8588
"Temperature_Out";"04.05.2025 21:33:28";30.01348;1;45781898237.8588
"OR";"04.05.2025 21:33:29";75.13802;1;45781898249.5023
"Power";"04.05.2025 21:33:29";80;1;45781898249.5023
"Temperature_Setpoint";"04.05.2025 21:33:29";30;1;45781898249.5023
"Temperature_In";"04.05.2025 21:33:29";15;1;45781898249.5023
"Temperature_Out";"04.05.2025 21:33:29";30.01288;1;45781898249.5023
"OR";"04.05.2025 21:33:30";75.1386;1;45781898261.1458
"Power";"04.05.2025 21:33:30";80;1;45781898261.1458
"Temperature_Setpoint";"04.05.2025 21:33:30";30;1;45781898261.1458
"Temperature_In";"04.05.2025 21:33:30";15;1;45781898261.1458
"Temperature_Out";"04.05.2025 21:33:30";30.01231;1;45781898261.1458
"OR";"04.05.2025 21:33:31";75.13944;1;45781898272.7662
"Power";"04.05.2025 21:33:31";80;1;45781898272.7662
"Temperature_Setpoint";"04.05.2025 21:33:31";30;1;45781898272.7662
"Temperature_In";"04.05.2025 21:33:31";15;1;45781898272.7662
"Temperature_Out";"04.05.2025 21:33:31";30.01177;1;45781898272.7662
"OR";"04.05.2025 21:33:32";75.14048;1;45781898284.4097
"Power";"04.05.2025 21:33:32";80;1;45781898284.4097
"Temperature_Setpoint";"04.05.2025 21:33:32";30;1;45781898284.4097
"Temperature_In";"04.05.2025 21:33:32";15;1;45781898284.4097
"Temperature_Out";"04.05.2025 21:33:32";30.01126;1;45781898284.4097
"OR";"04.05.2025 21:33:33";75.14048;1;45781898296.0301
"Power";"04.05.2025 21:33:33";80;1;45781898296.0301
"Temperature_Setpoint";"04.05.2025 21:33:33";30;1;45781898296.0301
"Temperature_In";"04.05.2025 21:33:33";15;1;45781898296.0301
"Temperature_Out";"04.05.2025 21:33:33";30.01084;1;45781898296.0301
"OR";"04.05.2025 21:33:34";75.14165;1;45781898307.662
