"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"rTemperatureSetpoint";"01.05.2025 22:52:39";50;1;45778953229.4097
"rTemperatureIn";"01.05.2025 22:52:39";15;1;45778953229.4097
"rTemperatureOut";"01.05.2025 22:52:39";45.00815;1;45778953229.4097
"rFlow";"01.05.2025 22:52:40";2.406746;1;45778953241.0532
"rPower";"01.05.2025 22:52:40";50;1;45778953241.0532
"rTemperatureSetpoint";"01.05.2025 22:52:40";50;1;45778953241.0532
"rTemperatureIn";"01.05.2025 22:52:40";15;1;45778953241.0532
"rTemperatureOut";"01.05.2025 22:52:40";45.00813;1;45778953241.0532
"rFlow";"01.05.2025 22:52:41";2.398721;1;45778953252.6852
"rPower";"01.05.2025 22:52:41";50;1;45778953252.6852
"rTemperatureSetpoint";"01.05.2025 22:52:41";50;1;45778953252.6852
"rTemperatureIn";"01.05.2025 22:52:41";15;1;45778953252.6852
"rTemperatureOut";"01.05.2025 22:52:41";45.00872;1;45778953252.6852
"rFlow";"01.05.2025 22:52:42";2.390838;1;45778953264.3056
"rPower";"01.05.2025 22:52:42";50;1;45778953264.3056
"rTemperatureSetpoint";"01.05.2025 22:52:42";50;1;45778953264.3056
"rTemperatureIn";"01.05.2025 22:52:42";15;1;45778953264.3056
"rTemperatureOut";"01.05.2025 22:52:42";45.01117;1;45778953264.3056
"rFlow";"01.05.2025 22:52:43";2.383176;1;45778953275.9375
"rPower";"01.05.2025 22:52:43";50;1;45778953275.9375
"rTemperatureSetpoint";"01.05.2025 22:52:43";50;1;45778953275.9375
"rTemperatureIn";"01.05.2025 22:52:43";15;1;45778953275.9375
"rTemperatureOut";"01.05.2025 22:52:43";45.01645;1;45778953275.9375
"rFlow";"01.05.2025 22:52:44";2.375798;1;45778953287.5695
"rPower";"01.05.2025 22:52:44";50;1;45778953287.5695
"rTemperatureSetpoint";"01.05.2025 22:52:44";50;1;45778953287.5695
"rTemperatureIn";"01.05.2025 22:52:44";15;1;45778953287.5695
"rTemperatureOut";"01.05.2025 22:52:44";45.0242;1;45778953287.5695
"rFlow";"01.05.2025 22:52:45";2.368637;1;45778953299.1782
"rPower";"01.05.2025 22:52:45";50;1;45778953299.1782
"rTemperatureSetpoint";"01.05.2025 22:52:45";50;1;45778953299.1782
"rTemperatureIn";"01.05.2025 22:52:45";15;1;45778953299.1782
"rTemperatureOut";"01.05.2025 22:52:45";45.03665;1;45778953299.1782
"rFlow";"01.05.2025 22:52:46";2.367065;1;45778953310.8333
"rPower";"01.05.2025 22:52:46";50;1;45778953310.8333
"rTemperatureSetpoint";"01.05.2025 22:52:46";50;1;45778953310.8333
"rTemperatureIn";"01.05.2025 22:52:46";15;1;45778953310.8333
"rTemperatureOut";"01.05.2025 22:52:46";45.051;1;45778953310.8333
"rFlow";"01.05.2025 22:52:47";2.355099;1;45778953322.4769
"rPower";"01.05.2025 22:52:47";50;1;45778953322.4769
"rTemperatureSetpoint";"01.05.2025 22:52:47";50;1;45778953322.4769
"rTemperatureIn";"01.05.2025 22:52:47";15;1;45778953322.4769
"rTemperatureOut";"01.05.2025 22:52:47";45.068;1;45778953322.4769
"rFlow";"01.05.2025 22:52:48";2.349066;1;45778953334.1088
"rPower";"01.05.2025 22:52:48";50;1;45778953334.1088
"rTemperatureSetpoint";"01.05.2025 22:52:48";50;1;45778953334.1088
"rTemperatureIn";"01.05.2025 22:52:48";15;1;45778953334.1088
"rTemperatureOut";"01.05.2025 22:52:48";45.09277;1;45778953334.1088
"rFlow";"01.05.2025 22:52:49";2.34432;1;45778953345.7639
"rPower";"01.05.2025 22:52:49";50;1;45778953345.7639
"rTemperatureSetpoint";"01.05.2025 22:52:49";50;1;45778953345.7639
"rTemperatureIn";"01.05.2025 22:52:49";15;1;45778953345.7639
"rTemperatureOut";"01.05.2025 22:52:49";45.13353;1;45778953345.7639
"rFlow";"01.05.2025 22:52:50";2.339251;1;45778953357.3958
"rPower";"01.05.2025 22:52:50";50;1;45778953357.3958
"rTemperatureSetpoint";"01.05.2025 22:52:50";50;1;45778953357.3958
"rTemperatureIn";"01.05.2025 22:52:50";15;1;45778953357.3958
"rTemperatureOut";"01.05.2025 22:52:50";45.16882;1;45778953357.3958
"rFlow";"01.05.2025 22:52:51";2.334878;1;45778953369.0394
"rPower";"01.05.2025 22:52:51";50;1;45778953369.0394
"rTemperatureSetpoint";"01.05.2025 22:52:51";50;1;45778953369.0394
"rTemperatureIn";"01.05.2025 22:52:51";15;1;45778953369.0394
"rTemperatureOut";"01.05.2025 22:52:51";45.20242;1;45778953369.0394
"rFlow";"01.05.2025 22:52:52";2.33027;1;45778953380.706
"rPower";"01.05.2025 22:52:52";50;1;45778953380.706
"rTemperatureSetpoint";"01.05.2025 22:52:52";50;1;45778953380.706
"rTemperatureIn";"01.05.2025 22:52:52";15;1;45778953380.706
"rTemperatureOut";"01.05.2025 22:52:52";45.2422;1;45778953380.706
"rFlow";"01.05.2025 22:52:53";2.325604;1;45778953392.338
"rPower";"01.05.2025 22:52:53";50;1;45778953392.338
"rTemperatureSetpoint";"01.05.2025 22:52:53";50;1;45778953392.338
"rTemperatureIn";"01.05.2025 22:52:53";15;1;45778953392.338
"rTemperatureOut";"01.05.2025 22:52:53";45.28045;1;45778953392.338
"rFlow";"01.05.2025 22:52:54";2.321568;1;45778953403.9931
"rPower";"01.05.2025 22:52:54";50;1;45778953403.9931
"rTemperatureSetpoint";"01.05.2025 22:52:54";50;1;45778953403.9931
"rTemperatureIn";"01.05.2025 22:52:54";15;1;45778953403.9931
"rTemperatureOut";"01.05.2025 22:52:54";45.32589;1;45778953403.9931
"rFlow";"01.05.2025 22:52:55";2.31786;1;45778953415.6366
"rPower";"01.05.2025 22:52:55";50;1;45778953415.6366
"rTemperatureSetpoint";"01.05.2025 22:52:55";50;1;45778953415.6366
"rTemperatureIn";"01.05.2025 22:52:55";15;1;45778953415.6366
"rTemperatureOut";"01.05.2025 22:52:55";45.37456;1;45778953415.6366
"rFlow";"01.05.2025 22:52:56";2.314494;1;45778953427.2569
"rPower";"01.05.2025 22:52:56";50;1;45778953427.2569
"rTemperatureSetpoint";"01.05.2025 22:52:56";50;1;45778953427.2569
"rTemperatureIn";"01.05.2025 22:52:56";15;1;45778953427.2569
"rTemperatureOut";"01.05.2025 22:52:56";45.42653;1;45778953427.2569
"rFlow";"01.05.2025 22:52:57";2.311474;1;45778953438.8889
"rPower";"01.05.2025 22:52:57";50;1;45778953438.8889
"rTemperatureSetpoint";"01.05.2025 22:52:57";50;1;45778953438.8889
"rTemperatureIn";"01.05.2025 22:52:57";15;1;45778953438.8889
"rTemperatureOut";"01.05.2025 22:52:57";45.48181;1;45778953438.8889
"rFlow";"01.05.2025 22:52:58";2.308803;1;45778953450.544
"rPower";"01.05.2025 22:52:58";50;1;45778953450.544
"rTemperatureSetpoint";"01.05.2025 22:52:58";50;1;45778953450.544
"rTemperatureIn";"01.05.2025 22:52:58";15;1;45778953450.544
"rTemperatureOut";"01.05.2025 22:52:58";45.54036;1;45778953450.544
"rFlow";"01.05.2025 22:52:59";2.306484;1;45778953462.1528
"rPower";"01.05.2025 22:52:59";50;1;45778953462.1528
"rTemperatureSetpoint";"01.05.2025 22:52:59";50;1;45778953462.1528
"rTemperatureIn";"01.05.2025 22:52:59";15;1;45778953462.1528
"rTemperatureOut";"01.05.2025 22:52:59";45.60213;1;45778953462.1528
"rFlow";"01.05.2025 22:53:00";2.304511;1;45778953473.7847
"rPower";"01.05.2025 22:53:00";50;1;45778953473.7847
"rTemperatureSetpoint";"01.05.2025 22:53:00";50;1;45778953473.7847
"rTemperatureIn";"01.05.2025 22:53:00";15;1;45778953473.7847
"rTemperatureOut";"01.05.2025 22:53:00";45.66699;1;45778953473.7847
"rFlow";"01.05.2025 22:53:01";2.30288;1;45778953485.4282
"rPower";"01.05.2025 22:53:01";50;1;45778953485.4282
"rTemperatureSetpoint";"01.05.2025 22:53:01";50;1;45778953485.4282
"rTemperatureIn";"01.05.2025 22:53:01";15;1;45778953485.4282
"rTemperatureOut";"01.05.2025 22:53:01";45.73483;1;45778953485.4282
"rFlow";"01.05.2025 22:53:02";2.301013;1;45778953497.0602
"rPower";"01.05.2025 22:53:02";50;1;45778953497.0602
"rTemperatureSetpoint";"01.05.2025 22:53:02";50;1;45778953497.0602
"rTemperatureIn";"01.05.2025 22:53:02";15;1;45778953497.0602
"rTemperatureOut";"01.05.2025 22:53:02";45.79832;1;45778953497.0602
"rFlow";"01.05.2025 22:53:03";2.300014;1;45778953508.7037
"rPower";"01.05.2025 22:53:03";50;1;45778953508.7037
"rTemperatureSetpoint";"01.05.2025 22:53:03";50;1;45778953508.7037
"rTemperatureIn";"01.05.2025 22:53:03";15;1;45778953508.7037
"rTemperatureOut";"01.05.2025 22:53:03";45.87141;1;45778953508.7037
"rFlow";"01.05.2025 22:53:04";2.299335;1;45778953520.3356
"rPower";"01.05.2025 22:53:04";50;1;45778953520.3356
"rTemperatureSetpoint";"01.05.2025 22:53:04";50;1;45778953520.3356
"rTemperatureIn";"01.05.2025 22:53:04";15;1;45778953520.3356
"rTemperatureOut";"01.05.2025 22:53:04";45.94701;1;45778953520.3356
"rFlow";"01.05.2025 22:53:05";2.298965;1;45778953531.9907
"rPower";"01.05.2025 22:53:05";50;1;45778953531.9907
"rTemperatureSetpoint";"01.05.2025 22:53:05";50;1;45778953531.9907
"rTemperatureIn";"01.05.2025 22:53:05";15;1;45778953531.9907
"rTemperatureOut";"01.05.2025 22:53:05";46.02497;1;45778953531.9907
"rFlow";"01.05.2025 22:53:06";2.298889;1;45778953543.6458
"rPower";"01.05.2025 22:53:06";50;1;45778953543.6458
"rTemperatureSetpoint";"01.05.2025 22:53:06";50;1;45778953543.6458
"rTemperatureIn";"01.05.2025 22:53:06";15;1;45778953543.6458
"rTemperatureOut";"01.05.2025 22:53:06";46.09699;1;45778953543.6458
"rFlow";"01.05.2025 22:53:07";2.299079;1;45778953555.2778
"rPower";"01.05.2025 22:53:07";50;1;45778953555.2778
"rTemperatureSetpoint";"01.05.2025 22:53:07";50;1;45778953555.2778
"rTemperatureIn";"01.05.2025 22:53:07";15;1;45778953555.2778
"rTemperatureOut";"01.05.2025 22:53:07";46.17891;1;45778953555.2778
"rFlow";"01.05.2025 22:53:08";2.299548;1;45778953566.9097
"rPower";"01.05.2025 22:53:08";50;1;45778953566.9097
"rTemperatureSetpoint";"01.05.2025 22:53:08";50;1;45778953566.9097
"rTemperatureIn";"01.05.2025 22:53:08";15;1;45778953566.9097
"rTemperatureOut";"01.05.2025 22:53:08";46.26266;1;45778953566.9097
"rFlow";"01.05.2025 22:53:09";2.300286;1;45778953578.5417
"rPower";"01.05.2025 22:53:09";50;1;45778953578.5417
"rTemperatureSetpoint";"01.05.2025 22:53:09";50;1;45778953578.5417
"rTemperatureIn";"01.05.2025 22:53:09";15;1;45778953578.5417
"rTemperatureOut";"01.05.2025 22:53:09";46.34807;1;45778953578.5417
"rFlow";"01.05.2025 22:53:10";2.301279;1;45778953590.162
"rPower";"01.05.2025 22:53:10";50;1;45778953590.162
"rTemperatureSetpoint";"01.05.2025 22:53:10";50;1;45778953590.162
"rTemperatureIn";"01.05.2025 22:53:10";15;1;45778953590.162
"rTemperatureOut";"01.05.2025 22:53:10";46.43494;1;45778953590.162
"rFlow";"01.05.2025 22:53:11";2.302517;1;45778953601.8056
"rPower";"01.05.2025 22:53:11";50;1;45778953601.8056
"rTemperatureSetpoint";"01.05.2025 22:53:11";50;1;45778953601.8056
"rTemperatureIn";"01.05.2025 22:53:11";15;1;45778953601.8056
"rTemperatureOut";"01.05.2025 22:53:11";46.52311;1;45778953601.8056
"rFlow";"01.05.2025 22:53:12";2.303988;1;45778953613.4375
"rPower";"01.05.2025 22:53:12";50;1;45778953613.4375
"rTemperatureSetpoint";"01.05.2025 22:53:12";50;1;45778953613.4375
"rTemperatureIn";"01.05.2025 22:53:12";15;1;45778953613.4375
"rTemperatureOut";"01.05.2025 22:53:12";46.6124;1;45778953613.4375
"rFlow";"01.05.2025 22:53:13";2.30568;1;45778953625.0694
"rPower";"01.05.2025 22:53:13";50;1;45778953625.0694
"rTemperatureSetpoint";"01.05.2025 22:53:13";50;1;45778953625.0694
"rTemperatureIn";"01.05.2025 22:53:13";15;1;45778953625.0694
"rTemperatureOut";"01.05.2025 22:53:13";46.70265;1;45778953625.0694
"rFlow";"01.05.2025 22:53:14";2.307384;1;45778953636.7014
"rPower";"01.05.2025 22:53:14";50;1;45778953636.7014
"rTemperatureSetpoint";"01.05.2025 22:53:14";50;1;45778953636.7014
"rTemperatureIn";"01.05.2025 22:53:14";15;1;45778953636.7014
"rTemperatureOut";"01.05.2025 22:53:14";46.78456;1;45778953636.7014
"rFlow";"01.05.2025 22:53:15";2.309467;1;45778953648.3449
"rPower";"01.05.2025 22:53:15";50;1;45778953648.3449
"rTemperatureSetpoint";"01.05.2025 22:53:15";50;1;45778953648.3449
"rTemperatureIn";"01.05.2025 22:53:15";15;1;45778953648.3449
"rTemperatureOut";"01.05.2025 22:53:15";46.87619;1;45778953648.3449
"rFlow";"01.05.2025 22:53:16";2.311738;1;45778953659.9653
"rPower";"01.05.2025 22:53:16";50;1;45778953659.9653
"rTemperatureSetpoint";"01.05.2025 22:53:16";50;1;45778953659.9653
"rTemperatureIn";"01.05.2025 22:53:16";15;1;45778953659.9653
"rTemperatureOut";"01.05.2025 22:53:16";46.96832;1;45778953659.9653
"rFlow";"01.05.2025 22:53:17";2.314186;1;45778953671.5972
"rPower";"01.05.2025 22:53:17";50;1;45778953671.5972
"rTemperatureSetpoint";"01.05.2025 22:53:17";50;1;45778953671.5972
"rTemperatureIn";"01.05.2025 22:53:17";15;1;45778953671.5972
"rTemperatureOut";"01.05.2025 22:53:17";47.06078;1;45778953671.5972
"rFlow";"01.05.2025 22:53:18";2.316801;1;45778953683.2292
"rPower";"01.05.2025 22:53:18";50;1;45778953683.2292
"rTemperatureSetpoint";"01.05.2025 22:53:18";50;1;45778953683.2292
"rTemperatureIn";"01.05.2025 22:53:18";15;1;45778953683.2292
"rTemperatureOut";"01.05.2025 22:53:18";47.15345;1;45778953683.2292
"rFlow";"01.05.2025 22:53:19";2.319571;1;45778953694.8495
"rPower";"01.05.2025 22:53:19";50;1;45778953694.8495
"rTemperatureSetpoint";"01.05.2025 22:53:19";50;1;45778953694.8495
"rTemperatureIn";"01.05.2025 22:53:19";15;1;45778953694.8495
"rTemperatureOut";"01.05.2025 22:53:19";47.24618;1;45778953694.8495
"rFlow";"01.05.2025 22:53:20";2.322486;1;45778953706.4931
"rPower";"01.05.2025 22:53:20";50;1;45778953706.4931
"rTemperatureSetpoint";"01.05.2025 22:53:20";50;1;45778953706.4931
"rTemperatureIn";"01.05.2025 22:53:20";15;1;45778953706.4931
"rTemperatureOut";"01.05.2025 22:53:20";47.33883;1;45778953706.4931
"rFlow";"01.05.2025 22:53:21";2.325534;1;45778953718.1366
"rPower";"01.05.2025 22:53:21";50;1;45778953718.1366
"rTemperatureSetpoint";"01.05.2025 22:53:21";50;1;45778953718.1366
"rTemperatureIn";"01.05.2025 22:53:21";15;1;45778953718.1366
"rTemperatureOut";"01.05.2025 22:53:21";47.43126;1;45778953718.1366
"rFlow";"01.05.2025 22:53:22";2.328384;1;45778953729.7685
"rPower";"01.05.2025 22:53:22";50;1;45778953729.7685
"rTemperatureSetpoint";"01.05.2025 22:53:22";50;1;45778953729.7685
"rTemperatureIn";"01.05.2025 22:53:22";15;1;45778953729.7685
"rTemperatureOut";"01.05.2025 22:53:22";47.51417;1;45778953729.7685
"rFlow";"01.05.2025 22:53:23";2.331657;1;45778953741.412
