"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"OR";"03.05.2025 20:55:22";30,45508;1;45780871778,206
"Power";"03.05.2025 20:55:22";80;1;45780871778,206
"Temperature_Setpoint";"03.05.2025 20:55:22";50;1;45780871778,206
"Temperature_In";"03.05.2025 20:55:22";15;1;45780871778,206
"Temperature_Out";"03.05.2025 20:55:22";45,00188;1;45780871778,206
"OR";"03.05.2025 20:55:23";30,59061;1;45780871789,8495
"Power";"03.05.2025 20:55:23";80;1;45780871789,8495
"Temperature_Setpoint";"03.05.2025 20:55:23";50;1;45780871789,8495
"Temperature_In";"03.05.2025 20:55:23";15;1;45780871789,8495
"Temperature_Out";"03.05.2025 20:55:23";45,00767;1;45780871789,8495
"OR";"03.05.2025 20:55:24";30,74448;1;45780871801,5046
"Power";"03.05.2025 20:55:24";80;1;45780871801,5046
"Temperature_Setpoint";"03.05.2025 20:55:24";50;1;45780871801,5046
"Temperature_In";"03.05.2025 20:55:24";15;1;45780871801,5046
"Temperature_Out";"03.05.2025 20:55:24";45,01868;1;45780871801,5046
"OR";"03.05.2025 20:55:25";30,74448;1;45780871813,1366
"Power";"03.05.2025 20:55:25";80;1;45780871813,1366
"Temperature_Setpoint";"03.05.2025 20:55:25";50;1;45780871813,1366
"Temperature_In";"03.05.2025 20:55:25";15;1;45780871813,1366
"Temperature_Out";"03.05.2025 20:55:25";45,03932;1;45780871813,1366
"OR";"03.05.2025 20:55:26";30,91629;1;45780871824,7685
"Power";"03.05.2025 20:55:26";80;1;45780871824,7685
"Temperature_Setpoint";"03.05.2025 20:55:26";50;1;45780871824,7685
"Temperature_In";"03.05.2025 20:55:26";15;1;45780871824,7685
"Temperature_Out";"03.05.2025 20:55:26";45,06675;1;45780871824,7685
"OR";"03.05.2025 20:55:27";31,09981;1;45780871836,412
"Power";"03.05.2025 20:55:27";80;1;45780871836,412
"Temperature_Setpoint";"03.05.2025 20:55:27";50;1;45780871836,412
"Temperature_In";"03.05.2025 20:55:27";15;1;45780871836,412
"Temperature_Out";"03.05.2025 20:55:27";45,10808;1;45780871836,412
"OR";"03.05.2025 20:55:28";31,28013;1;45780871848,0556
"Power";"03.05.2025 20:55:28";80;1;45780871848,0556
"Temperature_Setpoint";"03.05.2025 20:55:28";50;1;45780871848,0556
"Temperature_In";"03.05.2025 20:55:28";15;1;45780871848,0556
"Temperature_Out";"03.05.2025 20:55:28";45,16135;1;45780871848,0556
"OR";"03.05.2025 20:55:29";31,28013;1;45780871859,6991
"Power";"03.05.2025 20:55:29";80;1;45780871859,6991
"Temperature_Setpoint";"03.05.2025 20:55:29";50;1;45780871859,6991
"Temperature_In";"03.05.2025 20:55:29";15;1;45780871859,6991
"Temperature_Out";"03.05.2025 20:55:29";45,2196;1;45780871859,6991
"OR";"03.05.2025 20:55:30";31,46543;1;45780871871,3657
"Power";"03.05.2025 20:55:30";80;1;45780871871,3657
"Temperature_Setpoint";"03.05.2025 20:55:30";50;1;45780871871,3657
"Temperature_In";"03.05.2025 20:55:30";15;1;45780871871,3657
"Temperature_Out";"03.05.2025 20:55:30";45,29551;1;45780871871,3657
"OR";"03.05.2025 20:55:31";31,65965;1;45780871882,9977
"Power";"03.05.2025 20:55:31";80;1;45780871882,9977
"Temperature_Setpoint";"03.05.2025 20:55:31";50;1;45780871882,9977
"Temperature_In";"03.05.2025 20:55:31";15;1;45780871882,9977
"Temperature_Out";"03.05.2025 20:55:31";45,3734;1;45780871882,9977
"OR";"03.05.2025 20:55:32";31,65965;1;45780871894,6412
"Power";"03.05.2025 20:55:32";80;1;45780871894,6412
"Temperature_Setpoint";"03.05.2025 20:55:32";50;1;45780871894,6412
"Temperature_In";"03.05.2025 20:55:32";15;1;45780871894,6412
"Temperature_Out";"03.05.2025 20:55:32";45,46984;1;45780871894,6412
"OR";"03.05.2025 20:55:33";31,82024;1;45780871906,2731
"Power";"03.05.2025 20:55:33";80;1;45780871906,2731
"Temperature_Setpoint";"03.05.2025 20:55:33";50;1;45780871906,2731
"Temperature_In";"03.05.2025 20:55:33";15;1;45780871906,2731
"Temperature_Out";"03.05.2025 20:55:33";45,5757;1;45780871906,2731
"OR";"03.05.2025 20:55:34";31,9791;1;45780871917,9167
"Power";"03.05.2025 20:55:34";80;1;45780871917,9167
"Temperature_Setpoint";"03.05.2025 20:55:34";50;1;45780871917,9167
"Temperature_In";"03.05.2025 20:55:34";15;1;45780871917,9167
"Temperature_Out";"03.05.2025 20:55:34";45,68986;1;45780871917,9167
"OR";"03.05.2025 20:55:35";32,14447;1;45780871929,537
"Power";"03.05.2025 20:55:35";80;1;45780871929,537
"Temperature_Setpoint";"03.05.2025 20:55:35";50;1;45780871929,537
"Temperature_In";"03.05.2025 20:55:35";15;1;45780871929,537
"Temperature_Out";"03.05.2025 20:55:35";45,79871;1;45780871929,537
"OR";"03.05.2025 20:55:36";32,14447;1;45780871941,1921
"Power";"03.05.2025 20:55:36";80;1;45780871941,1921
"Temperature_Setpoint";"03.05.2025 20:55:36";50;1;45780871941,1921
"Temperature_In";"03.05.2025 20:55:36";15;1;45780871941,1921
"Temperature_Out";"03.05.2025 20:55:36";45,9382;1;45780871941,1921
"OR";"03.05.2025 20:55:37";32,27044;1;45780871952,8356
"Power";"03.05.2025 20:55:37";80;1;45780871952,8356
"Temperature_Setpoint";"03.05.2025 20:55:37";50;1;45780871952,8356
"Temperature_In";"03.05.2025 20:55:37";15;1;45780871952,8356
"Temperature_Out";"03.05.2025 20:55:37";46,06988;1;45780871952,8356
"OR";"03.05.2025 20:55:38";32,39127;1;45780871964,4907
"Power";"03.05.2025 20:55:38";80;1;45780871964,4907
"Temperature_Setpoint";"03.05.2025 20:55:38";50;1;45780871964,4907
"Temperature_In";"03.05.2025 20:55:38";15;1;45780871964,4907
"Temperature_Out";"03.05.2025 20:55:38";46,1913;1;45780871964,4907
"OR";"03.05.2025 20:55:39";32,51871;1;45780871976,1343
"Power";"03.05.2025 20:55:39";80;1;45780871976,1343
"Temperature_Setpoint";"03.05.2025 20:55:39";50;1;45780871976,1343
"Temperature_In";"03.05.2025 20:55:39";15;1;45780871976,1343
"Temperature_Out";"03.05.2025 20:55:39";46,32834;1;45780871976,1343
"OR";"03.05.2025 20:55:40";32,51871;1;45780871987,7662
"Power";"03.05.2025 20:55:40";80;1;45780871987,7662
"Temperature_Setpoint";"03.05.2025 20:55:40";50;1;45780871987,7662
"Temperature_In";"03.05.2025 20:55:40";15;1;45780871987,7662
"Temperature_Out";"03.05.2025 20:55:40";46,4527;1;45780871987,7662
"OR";"03.05.2025 20:55:41";32,65251;1;45780871999,3981
"Power";"03.05.2025 20:55:41";80;1;45780871999,3981
"Temperature_Setpoint";"03.05.2025 20:55:41";50;1;45780871999,3981
"Temperature_In";"03.05.2025 20:55:41";15;1;45780871999,3981
"Temperature_Out";"03.05.2025 20:55:41";46,59103;1;45780871999,3981
"OR";"03.05.2025 20:55:42";32,7201;1;45780872011,0417
"Power";"03.05.2025 20:55:42";80;1;45780872011,0417
"Temperature_Setpoint";"03.05.2025 20:55:42";50;1;45780872011,0417
"Temperature_In";"03.05.2025 20:55:42";15;1;45780872011,0417
"Temperature_Out";"03.05.2025 20:55:42";46,74224;1;45780872011,0417
"OR";"03.05.2025 20:55:43";32,79641;1;45780872022,6852
"Power";"03.05.2025 20:55:43";80;1;45780872022,6852
"Temperature_Setpoint";"03.05.2025 20:55:43";50;1;45780872022,6852
"Temperature_In";"03.05.2025 20:55:43";15;1;45780872022,6852
"Temperature_Out";"03.05.2025 20:55:43";46,8779;1;45780872022,6852
"OR";"03.05.2025 20:55:44";32,79641;1;45780872034,3171
"Power";"03.05.2025 20:55:44";80;1;45780872034,3171
"Temperature_Setpoint";"03.05.2025 20:55:44";50;1;45780872034,3171
"Temperature_In";"03.05.2025 20:55:44";15;1;45780872034,3171
"Temperature_Out";"03.05.2025 20:55:44";46,99783;1;45780872034,3171
"OR";"03.05.2025 20:55:45";32,8774;1;45780872045,9375
"Power";"03.05.2025 20:55:45";80;1;45780872045,9375
"Temperature_Setpoint";"03.05.2025 20:55:45";50;1;45780872045,9375
"Temperature_In";"03.05.2025 20:55:45";15;1;45780872045,9375
"Temperature_Out";"03.05.2025 20:55:45";47,12806;1;45780872045,9375
"OR";"03.05.2025 20:55:46";32,89506;1;45780872057,6042
"Power";"03.05.2025 20:55:46";80;1;45780872057,6042
"Temperature_Setpoint";"03.05.2025 20:55:46";50;1;45780872057,6042
"Temperature_In";"03.05.2025 20:55:46";15;1;45780872057,6042
"Temperature_Out";"03.05.2025 20:55:46";47,25454;1;45780872057,6042
"OR";"03.05.2025 20:55:47";32,91435;1;45780872069,2593
"Power";"03.05.2025 20:55:47";80;1;45780872069,2593
"Temperature_Setpoint";"03.05.2025 20:55:47";50;1;45780872069,2593
"Temperature_In";"03.05.2025 20:55:47";15;1;45780872069,2593
"Temperature_Out";"03.05.2025 20:55:47";47,36476;1;45780872069,2593
"OR";"03.05.2025 20:55:48";32,91435;1;45780872080,9144
"Power";"03.05.2025 20:55:48";80;1;45780872080,9144
"Temperature_Setpoint";"03.05.2025 20:55:48";50;1;45780872080,9144
"Temperature_In";"03.05.2025 20:55:48";15;1;45780872080,9144
"Temperature_Out";"03.05.2025 20:55:48";47,48284;1;45780872080,9144
"OR";"03.05.2025 20:55:49";32,95093;1;45780872092,5579
"Power";"03.05.2025 20:55:49";80;1;45780872092,5579
"Temperature_Setpoint";"03.05.2025 20:55:49";50;1;45780872092,5579
"Temperature_In";"03.05.2025 20:55:49";15;1;45780872092,5579
"Temperature_Out";"03.05.2025 20:55:49";47,5849;1;45780872092,5579
"OR";"03.05.2025 20:55:50";33,00074;1;45780872104,213
"Power";"03.05.2025 20:55:50";80;1;45780872104,213
"Temperature_Setpoint";"03.05.2025 20:55:50";50;1;45780872104,213
"Temperature_In";"03.05.2025 20:55:50";15;1;45780872104,213
"Temperature_Out";"03.05.2025 20:55:50";47,69337;1;45780872104,213
"OR";"03.05.2025 20:55:51";32,98859;1;45780872115,8333
"Power";"03.05.2025 20:55:51";80;1;45780872115,8333
"Temperature_Setpoint";"03.05.2025 20:55:51";50;1;45780872115,8333
"Temperature_In";"03.05.2025 20:55:51";15;1;45780872115,8333
"Temperature_Out";"03.05.2025 20:55:51";47,79646;1;45780872115,8333
"OR";"03.05.2025 20:55:52";32,98859;1;45780872127,4653
"Power";"03.05.2025 20:55:52";80;1;45780872127,4653
"Temperature_Setpoint";"03.05.2025 20:55:52";50;1;45780872127,4653
"Temperature_In";"03.05.2025 20:55:52";15;1;45780872127,4653
"Temperature_Out";"03.05.2025 20:55:52";47,8941;1;45780872127,4653
"OR";"03.05.2025 20:55:53";32,97953;1;45780872139,1088
"Power";"03.05.2025 20:55:53";80;1;45780872139,1088
"Temperature_Setpoint";"03.05.2025 20:55:53";50;1;45780872139,1088
"Temperature_In";"03.05.2025 20:55:53";15;1;45780872139,1088
"Temperature_Out";"03.05.2025 20:55:53";47,97727;1;45780872139,1088
"OR";"03.05.2025 20:55:54";32,98644;1;45780872150,7639
"Power";"03.05.2025 20:55:54";80;1;45780872150,7639
"Temperature_Setpoint";"03.05.2025 20:55:54";50;1;45780872150,7639
"Temperature_In";"03.05.2025 20:55:54";15;1;45780872150,7639
"Temperature_Out";"03.05.2025 20:55:54";48,06447;1;45780872150,7639
"OR";"03.05.2025 20:55:55";33,00592;1;45780872162,4074
"Power";"03.05.2025 20:55:55";80;1;45780872162,4074
"Temperature_Setpoint";"03.05.2025 20:55:55";50;1;45780872162,4074
"Temperature_In";"03.05.2025 20:55:55";15;1;45780872162,4074
"Temperature_Out";"03.05.2025 20:55:55";48,14626;1;45780872162,4074
"OR";"03.05.2025 20:55:56";33,00592;1;45780872174,0509
"Power";"03.05.2025 20:55:56";80;1;45780872174,0509
"Temperature_Setpoint";"03.05.2025 20:55:56";50;1;45780872174,0509
"Temperature_In";"03.05.2025 20:55:56";15;1;45780872174,0509
"Temperature_Out";"03.05.2025 20:55:56";48,22281;1;45780872174,0509
"OR";"03.05.2025 20:55:57";33,03189;1;45780872185,6945
"Power";"03.05.2025 20:55:57";80;1;45780872185,6945
"Temperature_Setpoint";"03.05.2025 20:55:57";50;1;45780872185,6945
"Temperature_In";"03.05.2025 20:55:57";15;1;45780872185,6945
"Temperature_Out";"03.05.2025 20:55:57";48,29428;1;45780872185,6945
"OR";"03.05.2025 20:55:58";32,99991;1;45780872197,338
"Power";"03.05.2025 20:55:58";80;1;45780872197,338
"Temperature_Setpoint";"03.05.2025 20:55:58";50;1;45780872197,338
"Temperature_In";"03.05.2025 20:55:58";15;1;45780872197,338
"Temperature_Out";"03.05.2025 20:55:58";48,36085;1;45780872197,338
"OR";"03.05.2025 20:55:59";32,96979;1;45780872208,9583
"Power";"03.05.2025 20:55:59";80;1;45780872208,9583
"Temperature_Setpoint";"03.05.2025 20:55:59";50;1;45780872208,9583
"Temperature_In";"03.05.2025 20:55:59";15;1;45780872208,9583
"Temperature_Out";"03.05.2025 20:55:59";48,42274;1;45780872208,9583
"OR";"03.05.2025 20:56:00";32,96979;1;45780872220,6134
"Power";"03.05.2025 20:56:00";80;1;45780872220,6134
"Temperature_Setpoint";"03.05.2025 20:56:00";50;1;45780872220,6134
"Temperature_In";"03.05.2025 20:56:00";15;1;45780872220,6134
"Temperature_Out";"03.05.2025 20:56:00";48,47464;1;45780872220,6134
"OR";"03.05.2025 20:56:01";32,95386;1;45780872232,2338
"Power";"03.05.2025 20:56:01";80;1;45780872232,2338
"Temperature_Setpoint";"03.05.2025 20:56:01";50;1;45780872232,2338
"Temperature_In";"03.05.2025 20:56:01";15;1;45780872232,2338
"Temperature_Out";"03.05.2025 20:56:01";48,5283;1;45780872232,2338
"OR";"03.05.2025 20:56:02";32,95079;1;45780872243,8773
"Power";"03.05.2025 20:56:02";80;1;45780872243,8773
"Temperature_Setpoint";"03.05.2025 20:56:02";50;1;45780872243,8773
"Temperature_In";"03.05.2025 20:56:02";15;1;45780872243,8773
"Temperature_Out";"03.05.2025 20:56:02";48,57801;1;45780872243,8773
"OR";"03.05.2025 20:56:03";32,90376;1;45780872255,5093
"Power";"03.05.2025 20:56:03";80;1;45780872255,5093
"Temperature_Setpoint";"03.05.2025 20:56:03";50;1;45780872255,5093
"Temperature_In";"03.05.2025 20:56:03";15;1;45780872255,5093
"Temperature_Out";"03.05.2025 20:56:03";48,62404;1;45780872255,5093
"OR";"03.05.2025 20:56:04";32,90376;1;45780872267,1412
"Power";"03.05.2025 20:56:04";80;1;45780872267,1412
"Temperature_Setpoint";"03.05.2025 20:56:04";50;1;45780872267,1412
"Temperature_In";"03.05.2025 20:56:04";15;1;45780872267,1412
"Temperature_Out";"03.05.2025 20:56:04";48,66663;1;45780872267,1412
"OR";"03.05.2025 20:56:05";32,86208;1;45780872278,7732
